Município;2016;2017;2018;2019;2020;2021;2022;2023;media
352042 ILHA COMPRIDA;2315;2511;2719;2937;3161;3368;3560;3736;3038,375
352044 ILHA SOLTEIRA;4572;4736;4899;5058;5205;5340;5471;5629;5113,75
352050 INDAIATUBA;29081;30768;32532;34361;36194;37898;39622;41543;35249,875
352060 INDIANA;834;858;884;915;943;964;987;1016;925,125
352070 INDIAPORA;879;906;935;969;998;1024;1045;1063;977,375
352080 INUBIA PAULISTA;621;637;662;686;709;724;751;773;695,375
352090 IPAUSSU;2039;2094;2155;2227;2289;2342;2399;2468;2251,625
352100 IPERO;3342;3553;3772;4007;4245;4467;4688;4940;4126,75
352110 IPEUNA;829;870;913;955;1000;1033;1075;1113;973,5
352115 IPIGUA;865;908;958;1008;1061;1111;1159;1213;1035,375
352120 IPORANGA;567;582;599;613;632;646;665;672;622
352130 IPUA;1706;1773;1839;1907;1974;2031;2093;2170;1936,625
352140 IRACEMAPOLIS;2611;2725;2844;2968;3085;3198;3315;3451;3024,625
352150 IRAPUA;1155;1186;1223;1256;1291;1308;1336;1360;1264,375
352160 IRAPURU;1411;1437;1454;1470;1483;1493;1502;1522;1471,5
352170 ITABERA;2620;2700;2772;2850;2924;2980;3042;3120;2876
352180 ITAI;3144;3271;3408;3548;3684;3808;3928;4075;3608,25
352190 ITAJOBI;2905;2988;3068;3152;3228;3283;3343;3419;3173,25
352200 ITAJU;570;592;613;641;666;687;709;719;649,625
352210 ITANHAEM;17370;18327;19331;20364;21391;22333;23271;24296;20835,375
352215 ITAOCA;558;570;584;600;616;629;644;651;606,5
352220 ITAPECERICA DA SERRA;15275;16124;16976;17841;18684;19450;20231;21105;18210,75
352230 ITAPETININGA;20220;21012;21849;22709;23540;24249;24953;25748;23035
352240 ITAPEVA;11130;11517;11929;12363;12778;13137;13525;13997;12547
352250 ITAPEVI;18046;19087;20167;21273;22371;23383;24431;25613;21796,375
