Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
350710 BOM JESUS DOS PERDOES;1668;1764;1869;1971;2056;2141;2225;2315;2415;2519;2629;2748;2874;2998;3115;3229;3357;3490;3615
350715 BOM SUCESSO DE ITARARE;257;265;273;281;291;305;310;322;329;338;351;365;374;386;401;415;427;452;467
350720 BORA;82;80;82;81;88;95;99;107;113;118;133;140;148;156;167;174;181;204;207
350730 BORACEIA;502;521;535;553;572;584;600;616;627;638;658;675;700;712;728;742;758;778;801
350740 BORBOREMA;1985;2030;2076;2131;2184;2245;2314;2389;2474;2552;2639;2732;2829;2917;2997;3072;3162;3251;3355
350745 BOREBI;219;225;234;243;254;257;271;284;296;311;318;331;348;367;378;389;395;414;432
350750 BOTUCATU;15308;15841;16399;16973;17557;18180;18848;19553;20280;21030;21808;22595;23400;24157;24802;25431;26167;26964;27660
350760 BRAGANCA PAULISTA;16363;17052;17770;18505;19265;20052;20872;21734;22627;23571;24562;25612;26713;27779;28721;29665;30738;31889;32795
350770 BRAUNA;764;779;794;814;823;838;862;883;907;937;963;990;1018;1042;1061;1078;1095;1113;1138
350775 BREJO ALEGRE;307;314;328;336;343;353;369;380;391;406;423;438;454;475;494;507;517;544;558
350780 BRODOWSKI;2332;2418;2511;2606;2695;2804;2918;3045;3174;3307;3464;3619;3782;3943;4088;4226;4380;4542;4683
350790 BROTAS;2596;2660;2733;2808;2887;2979;3087;3199;3326;3444;3587;3734;3878;4017;4144;4276;4418;4575;4715
350800 BURI;1729;1782;1843;1899;1955;2012;2067;2123;2187;2252;2324;2403;2487;2565;2627;2699;2786;2880;2968
350810 BURITAMA;1989;2072;2152;2227;2310;2398;2486;2585;2688;2801;2917;3052;3200;3348;3477;3606;3743;3882;4020
350820 BURITIZAL;556;571;590;608;634;650;671;692;713;738;763;787;814;837;858;876;898;922;935
350830 CABRALIA PAULISTA;496;503;517;526;540;553;576;589;606;624;637;660;669;694;713;727;748;768;801
350840 CABREUVA;2885;3033;3192;3351;3520;3687;3861;4051;4245;4450;4659;4887;5121;5351;5563;5792;6065;6348;6632
