 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município e Ano
Unidade da Federação: São Paulo
Idade simples: Menos que 1 ano de idade, 1  ano, 2  anos, 3  anos, 4  anos, 5  anos, 6  anos, 7  anos, 8  anos, 9  anos, 10 anos, 11 anos, 12 anos
Período:2015-2019
"Município";"2015";"2016";"2017";"2018";"2019"
"352215 ITAOCA";651;642;637;639;644
"352220 ITAPECERICA DA SERRA";34432;34194;33910;33614;33278
"352230 ITAPETININGA";29990;29862;29717;29609;29500
"352240 ITAPEVA";18905;18621;18346;18109;17891
"352250 ITAPEVI";50458;50511;50461;50354;50153
"352260 ITAPIRA";10920;10896;10894;10942;11017
"352265 ITAPIRAPUA PAULISTA";959;940;923;907;894
"352270 ITAPOLIS";6524;6463;6417;6400;6406
"352280 ITAPORANGA";2959;2920;2872;2815;2757
"352290 ITAPUI";2585;2595;2608;2624;2639
"352300 ITAPURA";797;778;760;750;740
"352310 ITAQUAQUECETUBA";79846;79792;79658;79556;79396
"352320 ITARARE";9433;9221;9029;8874;8745
"352330 ITARIRI";3703;3639;3574;3515;3448
"352340 ITATIBA";19374;19501;19628;19785;19951
"352350 ITATINGA";4056;3999;3932;3862;3785
"352360 ITIRAPINA";2536;2519;2505;2497;2489
"352370 ITIRAPUA";1229;1208;1189;1179;1166
"352380 ITOBI";1408;1399;1392;1383;1379
"352390 ITU";30547;30544;30537;30585;30645
"352400 ITUPEVA";11545;11965;12362;12740;13085
"352410 ITUVERAVA";6610;6509;6416;6345;6295
"352420 JABORANDI";1173;1159;1139;1116;1087
"352430 JABOTICABAL";12155;12020;11884;11755;11624
"352440 JACAREI";43141;43249;43281;43270;43192
"352450 JACI";1167;1200;1231;1269;1309
"352460 JACUPIRANGA";3652;3568;3487;3420;3359
"352470 JAGUARIUNA";9279;9448;9595;9721;9838
"352480 JALES";7308;7288;7281;7302;7352
"352490 JAMBEIRO";1110;1114;1121;1132;1147
"352500 JANDIRA";24112;23986;23825;23661;23463
"352510 JARDINOPOLIS";8225;8265;8291;8308;8319
"352520 JARINU";5780;6000;6229;6461;6692
"352530 JAU";23510;23298;23065;22835;22597
"352540 JERIQUARA";756;766;772;783;787
"352550 JOANOPOLIS";2174;2181;2189;2200;2205
"352560 JOAO RAMALHO";881;880;881;882;879
"352570 JOSE BONIFACIO";6014;6039;6072;6128;6198
"352580 JULIO MESQUITA";801;781;772;774;780
"352585 JUMIRIM";530;531;538;548;559
"352590 JUNDIAI";68372;69109;69741;70335;70857
"352600 JUNQUEIROPOLIS";3084;3107;3128;3153;3174
"352610 JUQUIA";3832;3716;3614;3531;3466
"352620 JUQUITIBA";6146;6005;5885;5788;5704
"352630 LAGOINHA";787;773;760;752;746
"352640 LARANJAL PAULISTA";4598;4570;4547;4543;4548
"352650 LAVINIA";781;769;760;755;754
"352660 LAVRINHAS";1531;1527;1518;1510;1502
"352670 LEME";18598;18510;18373;18203;17999
"352680 LENCOIS PAULISTA";12040;11992;11953;11924;11905
"352690 LIMEIRA";49884;49522;49146;48839;48552
"352700 LINDOIA";1251;1240;1231;1222;1215
"352710 LINS";12218;12203;12205;12262;12335
"352720 LORENA";15803;15668;15530;15409;15300
"352725 LOURDES";319;316;311;310;313
"352730 LOUVEIRA";8748;9029;9275;9493;9677
"352740 LUCELIA";3122;3058;3004;2969;2945
"352750 LUCIANOPOLIS";428;421;415;408;403
"352760 LUIS ANTONIO";2532;2520;2503;2485;2464
"352770 LUIZIANIA";915;912;908;906;906
"352780 LUPERCIO";844;829;812;800;788
"352790 LUTECIA";484;481;477;479;479
"352800 MACATUBA";3202;3175;3150;3133;3112
"352810 MACAUBAL";1175;1165;1158;1148;1141
"352820 MACEDONIA";574;573;569;567;569
"352830 MAGDA";481;479;482;483;477
"352840 MAIRINQUE";9236;9217;9191;9172;9147
"352850 MAIRIPORA";16263;16301;16387;16555;16765
"352860 MANDURI";1741;1738;1730;1726;1714
"352870 MARABA PAULISTA";630;617;612;612;611
"352880 MARACAI";2340;2308;2281;2259;2249
"352885 MARAPOAMA";445;453;463;472;488
"352890 MARIAPOLIS";645;634;624;616;604
"352900 MARILIA";38483;38620;38847;39279;39809
"352910 MARINOPOLIS";284;272;262;256;251
"352920 MARTINOPOLIS";4134;4100;4071;4061;4062
"352930 MATAO";13130;13049;12971;12911;12853
"352940 MAUA";82267;81244;80199;79255;78319
"352950 MENDONCA";828;845;874;902;936
"352960 MERIDIANO";672;684;692;699;707
"352965 MESOPOLIS";343;342;343;343;343
"352970 MIGUELOPOLIS";3996;3916;3836;3767;3700
"352980 MINEIROS DO TIETE";2201;2159;2115;2073;2037
"352990 MIRACATU";4527;4393;4268;4165;4068
"353000 MIRA ESTRELA";450;447;449;457;466
"353010 MIRANDOPOLIS";3887;3848;3813;3784;3766
"353020 MIRANTE DO PARANAPANEMA";3034;2971;2917;2879;2846
"353030 MIRASSOL";9640;9752;9883;10053;10247
"353040 MIRASSOLANDIA";795;793;794;805;810
"353050 MOCOCA";11519;11415;11318;11240;11171
"353060 MOGI DAS CRUZES";84010;84203;84292;84379;84394
"353070 MOGI GUACU";25593;25672;25757;25887;26031
"353080 MOGI MIRIM";15166;15144;15118;15115;15123
"353090 MOMBUCA";709;718;725;738;754
"353100 MONCOES";317;313;310;310;307
"353110 MONGAGUA";10403;10529;10624;10685;10709
"353120 MONTE ALEGRE DO SUL";1239;1253;1263;1269;1277
"353130 MONTE ALTO";7390;7342;7305;7291;7303
"353140 MONTE APRAZIVEL";3638;3633;3623;3608;3589
"353150 MONTE AZUL PAULISTA";3046;2994;2945;2909;2876
"353160 MONTE CASTELO";615;617;621;634;657
"353170 MONTEIRO LOBATO";793;791;787;787;787
"353180 MONTE MOR";11447;11671;11881;12080;12263
"353190 MORRO AGUDO";6173;6088;5981;5859;5726
"353200 MORUNGABA";2357;2369;2383;2402;2422
"353205 MOTUCA";799;787;775;761;745
"353210 MURUTINGA DO SUL";574;559;546;542;540
"353215 NANTES";567;557;551;543;541
"353220 NARANDIBA";1010;1046;1075;1106;1138
"353230 NATIVIDADE DA SERRA";1216;1212;1211;1216;1220
"353240 NAZARE PAULISTA";3051;3047;3050;3071;3099
"353250 NEVES PAULISTA";1225;1240;1264;1291;1331
"353260 NHANDEARA";1482;1473;1461;1456;1450
"353270 NIPOA";864;875;884;894;905
"353280 NOVA ALIANCA";1088;1098;1106;1119;1127
"353282 NOVA CAMPINA";2010;1973;1936;1903;1875
"353284 NOVA CANAA PAULISTA";275;272;266;262;259
"353286 NOVA CASTILHO";208;212;215;213;208
"353290 NOVA EUROPA";1938;1918;1890;1862;1823
"353300 NOVA GRANADA";3404;3396;3392;3409;3423
"353310 NOVA GUATAPORANGA";348;346;343;345;352
"353320 NOVA INDEPENDENCIA";719;732;743;750;758
"353325 NOVAIS";1048;1043;1032;1011;983
"353330 NOVA LUZITANIA";598;577;556;533;512
"353340 NOVA ODESSA";9816;9915;10014;10119;10221
